## 1.  01. 분모가 같은 (분수)÷(분수)(1)·나누어떨어지는 경우
  t0L1 low | ① 4/5 ÷ 1/5처럼 (분수)÷(단위분수)는 무엇을 세어 구할까? (몇 번 덜어 낼 수 있는지)
  qexample exam | 분모가 다른 (분수)÷(분수)를 직접 만들어서 통분해 계산해 봐.
  qerror erro | 친구가 2/3÷2/9를 계산하면서 통분하지 않고 2÷2=1, 3÷9는 그냥 둬서 답이 1/3이라고 했어. 어디가 틀렸을까?
## 1.  04. (자연수)÷(분수)
  t0L1 low | ① 2 ÷ 1/3처럼 (자연수)÷(단위분수)는 어떻게 계산할까? (2×3)
  t0L2 low | ② 8 ÷ 4/5처럼 (자연수)÷(분수)를 구할 때 먼저 무엇을 구할까? (8÷4)
  t0H1 high | ① [개념] 8 ÷ 4/5 = (8÷4)×5 = 10이 되는 과정을 설명해 봐.
  t0H2 high | ② [도형 활용] 넓이가 3/8 m²이고 높이가 5/7 m인 삼각형의 밑변을 구하려면 어떤 식을 세워야 하는지 말해 줘.
  qrecall reca | 9 ÷ 3/4은 얼마인지 말해 봐.
  qreason reas | 2÷1/3처럼 (자연수)÷(단위분수)를 계산할 때, 왜 자연수에 분모를 곱하면 될까?
  qexample exam | (자연수)÷(단위분수) 식을 직접 만들어서 계산해 봐.
  qerror erro | 친구가 8÷4/5를 계산하면서 8을 분모 5로 나누고 분자 4를 곱해서 (8÷5)×4라고 했어. 어디가 틀렸을까?
## 1.  05. (분수)÷(분수)를 분수의 곱셈으로 나타내기
  t0L1 low | ① (분수)÷(분수)를 계산할 때 나눗셈을 무엇으로 바꿀까? (곱셈)
  t0L2 low | ② 나눗셈을 곱셈으로 바꿀 때 나누는 분수의 무엇과 무엇을 바꿀까? (분모와 분자)
  t0H1 high | ① [개념] 5/7 ÷ 3/4 = 5/7 × 4/3으로 바꾸어 계산하는 방법을 설명해 봐.
  t0H2 high | ② [역연산] 어떤 수를 4/7로 나누었더니 2/3이 됐을 때, 그 어떤 수를 구하는 방법을 말해 줘.
  qrecall reca | 5/6 ÷ 2/3을 곱셈으로 바꾸어 말해 봐.
  qreason reas | (분수)÷(분수)를 계산할 때 왜 나누는 분수를 뒤집어 곱하면 몫이 똑같이 나올까?
  qexample exam | (분수)÷(분수)를 곱셈으로 바꾸는 예를 직접 만들어 봐.
  qerror erro | 친구가 5/7÷3/4를 계산하면서 5/7을 뒤집어 7/5×3/4라고 했어. 어디가 틀렸을까?
## 1.  06. 분수의 나눗셈을 계산해 볼까요·(대분수)÷(분수)
  t0L1 low | ① 대분수가 있는 나눗셈은 먼저 대분수를 무엇으로 바꿀까? (가분수)
  t0L2 low | ② 2⅓ ÷ 2/5를 계산하는 방법에는 어떤 두 가지가 있을까? (통분 / 분수의 곱셈)
  t0H1 high | ① [개념] 2⅓ ÷ 2/5를 가분수로 바꾼 뒤 분수의 곱셈으로 계산하는 과정을 설명해 봐.
  t0H2 high | ② [부등식 속 자연수] 10 < 20 ÷ (4/□) < 30처럼 부등식을 만족하는 □의 자연수를 찾는 방법을 말해 줘.
  qrecall reca | 2와 1/4 ÷ 1/2은 얼마인지 말해 봐.
  qreason reas | 1과 1/2L의 주스를 한 컵에 1/2L씩 담으면 몇 컵일까? 1과 1/2을 3/2로 바꾸는 것이 이 상황에서 어떤 뜻인지 설명해 봐.
  qexample exam | 대분수가 있는 나눗셈을 직접 만들어 가분수로 바꾸어 계산해 봐.
  qerror erro | 친구가 2와 1/3÷2/5를 계산하면서 대분수를 그대로 두고 2÷2/5를 하고, 1/3÷2/5도 따로 계산해서 더했어. 어디가 틀렸을까?
## 2.  01. (소수 한 자리 수)÷(소수 한 자리 수)
  t0L1 low | ① 6.4 ÷ 0.4를 분수의 나눗셈으로 바꾸면 분모가 얼마인 분수로 나타낼까? (10)
  t0L2 low | ② 나누어지는 수와 나누는 수를 각각 10배 하면 몫은 어떻게 될까? (같다)
  t0H1 high | ① [개념] 6.4 ÷ 0.4 = 64 ÷ 4 = 16으로 계산할 수 있는 이유를 설명해 봐.
  t0H2 high | ② [세로 계산] 세로로 계산할 때 두 수의 소수점을 같은 자리만큼 오른쪽으로 옮기는 이유를 말해 줘.
  qrecall reca | 9.6 ÷ 1.2는 얼마인지 말해 봐.
  qreason reas | 소수 한 자리 수끼리 나눌 때 왜 두 수를 똑같이 10배 해도 몫이 변하지 않을까?
  qexample exam | 소수 한 자리 수끼리 나누는 식을 직접 만들어 자연수로 바꾸어 계산해 봐.
  qerror erro | 친구가 6.4÷0.4를 계산하면서 6.4만 10배 해서 64÷0.4로 계산했어. 어디가 틀렸을까?
## 2.  02. (소수 두 자리 수)÷(소수 두 자리 수)
  t0L1 low | ① 1.28 ÷ 0.16을 분수로 바꾸면 분모가 얼마인 분수로 나타낼까? (100)
  t0L2 low | ② 소수 두 자리 수끼리 나눌 때는 몇 배를 해서 자연수로 만들까? (100배)
  t0H1 high | ① [개념] 1.28 ÷ 0.16 = 128 ÷ 16 = 8로 계산하는 과정을 설명해 봐.
  t0H2 high | ② [원리] 나누어지는 수와 나누는 수를 각각 100배 해도 몫이 같은 이유를 말해 줘.
  qrecall reca | 3.24 ÷ 0.12는 얼마인지 말해 봐.
  qreason reas | 소수 두 자리 수끼리 나눌 때는 왜 10배가 아니라 100배를 해야 할까?
  qexample exam | 소수 두 자리 수끼리 나누는 식을 직접 만들어 100배 하여 계산해 봐.
  qerror erro | 친구가 1.28÷0.16을 계산하면서 두 수를 10배 해서 12.8÷1.6으로 계산했어. 어디가 틀렸을까?
## 2.  03. 자릿수가 다른 (소수)÷(소수)
  t0L1 low | ① 4.68 ÷ 2.6처럼 자릿수가 다를 때, 나누는 수를 어떤 수로 만들면 계산하기 쉬울까? (자연수)
  t0L2 low | ② 세로로 계산할 때 몫의 소수점은 어디에 맞추어 찍을까? (옮긴 소수점의 위치)
  t0H1 high | ① [개념] 4.68 ÷ 2.6을 세로로 계산할 때 소수점을 옮기고 빈자리에 0을 채워 계산하는 방법을 설명해 봐.
  t0H2 high | ② [주의] 몫의 소수점을 옮긴 소수점의 위치에 맞추어 찍는 이유를 말해 줘.
  qrecall reca | 7.14 ÷ 0.7은 얼마인지, 두 수를 자연수로 바꾸어 말해 봐.
  qreason reas | 자릿수가 다른 소수끼리 나눌 때, 왜 나누어지는 수와 나누는 수의 소수점을 반드시 같은 자리만큼 옮겨야 할까?
  qexample exam | 자릿수가 다른 소수의 나눗셈을 직접 만들어 계산해 봐.
  qerror erro | 친구가 4.68÷2.6을 계산하면서 나누는 수 2.6만 10배 해서 26으로 만들고 나누어지는 수 4.68은 그대로 두었어. 어디가 틀렸을까?
## 2.  04. (자연수)÷(소수)
  t0L1 low | ① 10 ÷ 1.25를 분수로 바꾸면 분모가 얼마인 분수로 나타낼까? (100)
  t0L2 low | ② 세로로 계산할 때 자연수는 소수점이 어떻게 되어 있는 수로 볼까? (생략된 수)
  t0H1 high | ① [개념] 10 ÷ 1.25 = 1000 ÷ 125 = 8로 계산하는 과정을 설명해 봐.
  t0H2 high | ② [원리] 나누는 소수를 자연수로 만들 때 나누어지는 자연수도 같은 배로 커져야 하는 이유를 말해 줘.
  qrecall reca | 20 ÷ 1.6은 얼마인지 말해 봐.
  qreason reas | 자연수를 소수로 나눌 때 왜 자연수도 나누는 소수와 같은 배로 늘려야 할까?
  qexample exam | 자연수를 소수로 나누는 식을 직접 만들어 계산해 봐.
  qerror erro | 친구가 15÷0.6을 계산하면서 나누는 수만 10배 해서 6으로 만들고 15는 그대로 두어 15÷6이라고 했어. 어디가 틀렸을까?
## 2.  05. 몫을 반올림하여 나타내 볼까요
  t0L1 low | ① 몫이 간단한 소수로 구해지지 않을 때는 몫을 어떻게 나타낼까? (반올림하여 어림)
  t0L2 low | ② 반올림은 구하려는 자리의 바로 아래 자리 숫자가 얼마일 때 올릴까? (5, 6, 7, 8, 9)
  t0H1 high | ① [반올림 자릿수] 10 ÷ 7의 몫을 반올림하여 소수 첫째 자리까지 나타내는 방법을 설명해 봐.
  t0H2 high | ② [서술형] 나누어떨어지지 않는 나눗셈에서 몫을 반올림하여 어림해 나타내는 이유를 말해 줘.
  qrecall reca | 17 ÷ 3의 몫을 반올림하여 소수 첫째 자리까지 나타내면 얼마인지 말해 봐.
  qreason reas | 나눗셈이 나누어떨어지지 않을 때 왜 몫을 반올림해서 나타낼까?
  qexample exam | 나누어떨어지지 않는 나눗셈을 직접 만들어 몫을 반올림해서 나타내 봐.
  qerror erro | 친구가 10÷7=1.428...을 소수 첫째 자리까지 반올림하면서 소수 첫째 자리 숫자 4를 보고 올려서 1.5라고 했어. 어디가 틀렸을까?
## 2.  06. 나누어 주고 남는 양을 알아볼까요
  t0L1 low | ① 7.4 L를 2 L씩 나누어 줄 때, 나누어 줄 수 있는 사람 수는 어떤 수까지 구할까? (자연수 부분)
  t0L2 low | ② 남는 양의 소수점은 어디에 맞추어 찍을까? (나누어지는 수의 소수점 위치)
  t0H1 high | ① [개념] 7.4 ÷ 2에서 나누어 줄 수 있는 사람 수와 남는 양을 구하는 방법을 설명해 봐.
  t0H2 high | ② [검산] 나누는 수×몫+남는 양=처음 양이 되는지로 답을 확인할 수 있는 이유를 말해 줘.
  qrecall reca | 8.3 L를 2 L씩 나누어 담으면 몇 통에 담고 몇 L가 남는지 말해 봐.
  qreason reas | 나누어 주고 남는 양을 구할 때 왜 몫을 소수까지 계속 구하지 않고 자연수까지만 구할까?
  qexample exam | 나누어 주고 남는 양을 구하는 상황을 직접 만들어 몫과 나머지를 구해 봐.
  qerror erro | 친구가 7.4÷2를 계산하면서 몫을 3.7이라고 하고 나머지가 없다고 했어. 어디가 틀렸을까?
## 3.  01. 어느 방향에서 보았는지 알아볼까요
  t0L1 low | ① 같은 물체라도 보는 방향에 따라 보이는 모습은 어떻게 될까? (달라진다)
  t0L2 low | ② 사진을 어느 방향에서 찍었는지는 무엇을 보고 알 수 있을까? (보이는 물체의 순서와 위치)
  t0H1 high | ① [개념] 여러 방향에서 찍은 사진을 보고 각각 어느 방향에서 찍었는지 알아내는 방법을 설명해 봐.
  t0H2 high | ② [이유] 물체를 보는 방향에 따라 보이는 모습이 달라지는 이유를 말해 줘.
  qrecall reca | 사진 속에서 앞에 있는 물체와 뒤에 가려진 물체는 각각 어떻게 보이는지 말해 봐.
  qreason reas | 그림은 빨간 상자와 파란 상자를 위에서 내려다본 배치도야. 빨간 상자가 파란 상자를 가리고 있는 사진은 앞과 뒤 중 어느 쪽에서 찍었을까? 그쪽에서 볼 때 어느 상자가 더 가까운지 짚어서 설명해 봐.
  qexample exam | 물체 두세 개를 놓고, 방향을 바꾸면 보이는 모습이 어떻게 달라지는지 예를 들어 말해 봐.
  qerror erro | 친구가 사진 한 장만 보고 '이 사진은 어느 방향에서 찍어도 다 똑같이 보일 거야'라고 했어. 어디가 틀렸을까?
## 3.  02. 쌓은 모양과 쌓기나무의 개수(1)·위에서 본 모양
  t0L1 low | ① 보이는 위의 면과 위에서 본 모양이 같으면 숨겨진 쌓기나무가 있을까, 없을까?
  t0L2 low | ② 두 모양이 서로 다르면 어느 부분에 쌓기나무가 숨겨져 있을까? (보이지 않는 부분)
  t0H1 high | ① [개념] 위에서 본 모양을 이용해 쌓기나무의 개수를 알아보는 방법을 설명해 봐.
  t0H2 high | ② [최대·최소] 숨겨진 쌓기나무 때문에 개수가 여러 가지일 때, 가능한 가장 적은/많은 개수를 정하는 방법을 말해 줘.
  qrecall reca | 위에서 본 모양이 보여 주는 것과 보여 주지 않는 것을 각각 말해 봐.
  qreason reas | 위에서 본 모양만으로는 왜 쌓기나무의 정확한 개수를 알 수 없을까?
  qexample exam | 보이는 위의 면과 위에서 본 모양이 같은 경우와 다른 경우를 각각 예로 들어 말해 봐.
  qerror erro | 친구가 위에서 본 모양의 칸이 5칸이니까 쌓기나무도 무조건 5개라고 했어. 어디가 틀렸을까?
## 3.  03. 쌓은 모양과 쌓기나무의 개수(2)·위·앞·옆에서 본 모양
  t0L1 low | ① 쌓은 모양은 보통 어느 세 방향에서 본 모양으로 나타낼까? (위·앞·옆)
  t0L2 low | ② 앞이나 옆에서 본 모양은 각 방향에서 어떤 층의 모양과 같을까? (가장 높은 층)
  t0H1 high | ① [개념] 위·앞·옆에서 본 모양을 보고 쌓기나무의 개수를 구하는 방법을 설명해 봐.
  t0H2 high | ② [여러 경우] 세 방향에서 본 모양이 같아도 쌓은 모양이 여러 가지로 나올 수 있는 이유를 말해 줘.
  qrecall reca | 쌓기나무를 옆에서 보았을 때 어느 줄이 2층으로 보이면 이것이 무엇을 뜻하는지 말해 봐.
  qreason reas | 앞이나 옆에서 본 모양은 왜 그 줄에서 가장 높이 쌓인 층의 모양과 같을까?
  qexample exam | 위·앞·옆에서 본 모양이 다르게 나오는 쌓기나무 모양을 예로 들어 설명해 봐.
  qerror erro | 친구가 앞에서 본 모양의 어느 줄이 2층으로 보이는 걸 보고, 그 줄의 모든 자리가 2층씩 쌓여 있다고 했어. 어디가 틀렸을까?
## 3.  04. 쌓은 모양과 쌓기나무의 개수(3)·위에서 본 모양에 수 쓰기
  t0L1 low | ① 위에서 본 모양의 각 자리에는 무엇을 쓸까? (그 자리에 쌓인 쌓기나무의 개수)
  t0L2 low | ② 각 자리에 쓴 수를 모두 더하면 무엇을 알 수 있을까? (쌓기나무의 개수)
  t0H1 high | ① [개념] 위에서 본 모양의 각 자리에 수를 써서 쌓은 모양과 개수를 나타내는 방법을 설명해 봐.
  t0H2 high | ② [정확성] 각 자리에 수를 쓰면 쌓은 모양을 정확하게 알 수 있는 이유를 말해 줘.
  qrecall reca | 위에서 본 모양의 각 자리에 1, 4, 2, 3이 쓰여 있으면 쌓기나무는 모두 몇 개인지 말해 봐.
  qreason reas | 위에서 본 모양에 수를 쓰면 왜 앞이나 옆에서 보지 않아도 쌓은 모양을 정확히 알 수 있을까?
  qexample exam | 위에서 본 모양에 수를 써서 쌓기나무 모양을 나타내는 예를 들어 봐.
  qerror erro | 친구가 위에서 본 모양의 각 자리에 2, 3, 1, 2가 쓰인 걸 보고 가장 큰 수인 3을 전체 개수라고 했어. 어디가 틀렸을까?
## 3.  05. 쌓은 모양과 쌓기나무의 개수(4)·층별로 나타낸 모양
  t0L1 low | ① 쌓은 모양을 나타내는 또 다른 방법에는 무엇이 있을까? (층별로 나타내기)
  t0L2 low | ② 1층 모양은 위에서 본 모양과 어떤 관계일까? (같다)
  t0H1 high | ① [개념] 층별로 나타낸 모양을 보고 쌓기나무로 쌓은 모양을 알아보는 방법을 설명해 봐.
  t0H2 high | ② [활용] 층별로 나타낸 모양에서 각 층의 칸 수를 더해 전체 개수를 세는 방법을 말해 줘.
  qrecall reca | 층별로 나타낸 모양이 1층 4칸, 2층 2칸이면 쌓기나무는 모두 몇 개인지 말해 봐.
  qreason reas | 층별로 나타낸 모양에서 1층 모양은 왜 위에서 본 모양과 같을까?
  qexample exam | 층별로 나타낸 모양을 직접 만들어 전체 개수를 구해 봐.
  qerror erro | 친구가 층별 모양이 1층 5칸, 2층 3칸, 3층 1칸인 걸 보고 층이 3개니까 쌓기나무도 3개라고 했어. 어디가 틀렸을까?
## 3.  06. 여러 가지 모양을 만들어 볼까요
  t0L1 low | ① 쌓기나무 4개로 서로 다른 모양은 어떻게 만들 수 있을까? (3개 모양에 1개 붙이기)
  t0L2 low | ② 뒤집거나 돌려서 같은 모양은 몇 가지로 셀까? (1가지)
  t0H1 high | ① [개념] 쌓기나무 3개로 만든 모양에 1개를 붙여 4개짜리 서로 다른 모양을 찾는 방법을 설명해 봐.
  t0H2 high | ② [이유] 뒤집거나 돌렸을 때 같은 모양을 한 가지로 세는 이유를 말해 줘.
  qrecall reca | 쌓기나무 4개로 만든 어떤 모양을 뒤집었더니 처음 모양과 완전히 겹쳤어. 이 모양은 서로 다른 모양 몇 가지로 세야 하는지 말해 봐.
  qreason reas | 돌리거나 뒤집어서 완전히 겹쳐지는 모양을 왜 같은 모양 한 가지로 셀까?
  qexample exam | 쌓기나무 3개짜리 모양에 1개를 붙여 만들 수 있는 서로 다른 4개짜리 모양을 하나 예로 들어 봐.
  qerror erro | 친구가 쌓기나무 4개 모양 두 개를 만들고, 하나를 돌렸더니 다른 하나와 완전히 겹쳤는데도 서로 다른 모양 2가지라고 세었어. 어디가 틀렸을까?
## 4.  01. 비의 성질을 알아볼까요
  t0L1 low | ① 비 2:3에서 전항과 후항은 각각 무엇일까? (2가 전항, 3이 후항)
  t0L2 low | ② 비의 전항과 후항에 0이 아닌 같은 수를 곱하면 비율은 어떻게 될까? (같다)
  t0H1 high | ① [개념] 전항과 후항에 0이 아닌 같은 수를 곱하거나 나누어도 비율이 같다는 것을 설명해 봐.
  t0H2 high | ② [주의] 전항과 후항에 0을 곱하거나 0으로 나누는 경우는 생각하지 않는 이유를 말해 줘.
  qrecall reca | 비 4:7의 전항에 3을 곱하면 전항은 얼마가 되는지 말해 봐.
  qreason reas | 비의 전항과 후항에 0이 아닌 같은 수를 곱하거나 나누어도 왜 비율이 변하지 않을까?
  qexample exam | 비의 성질을 이용해 2:5와 비율이 같은 다른 비를 만들어 말해 봐.
  qerror erro | 친구가 비 3:5의 전항에만 2를 곱해서 6:5가 새로운 비라고 했어. 어디가 틀렸을까?
## 4.  02. 간단한 자연수의 비로 나타내 볼까요
  t0L1 low | ① 소수의 비는 전항과 후항에 무엇을 곱해 자연수의 비로 나타낼까? (10, 100, …)
  t0L2 low | ② 분수의 비는 전항과 후항에 무엇을 곱할까? (두 분모의 공배수)
  t0H1 high | ① [개념] 1.2:1.8을 간단한 자연수의 비 2:3으로 나타내는 과정을 설명해 봐.
  t0H2 high | ② [혼합비] 1/4:0.13처럼 분수와 소수가 섞인 비를 간단한 자연수의 비로 만드는 방법을 말해 줘.
  qrecall reca | 2.4:0.6을 간단한 자연수의 비로 나타내면 어떤 비인지 말해 봐.
  qreason reas | 분수의 비를 자연수의 비로 나타낼 때 왜 두 분모의 공배수를 곱해야 할까?
  qexample exam | 소수나 분수로 된 비를 하나 만들어 간단한 자연수의 비로 나타내 봐.
  qerror erro | 친구가 1/2:1/3을 자연수의 비로 바꾸면서 전항에는 2를, 후항에는 3을 곱해서 1:1이라고 했어. 어디가 틀렸을까?
## 4.  03. 비례식을 알아볼까요
  t0L1 low | ① 비율이 같은 두 비를 등호로 나타낸 식을 무엇이라고 할까? (비례식)
  t0L2 low | ② 비례식에서 바깥쪽 두 항과 안쪽 두 항을 각각 무엇이라고 할까? (외항, 내항)
  t0H1 high | ① [개념] 두 비의 비율이 같은지 확인하여 비례식을 세우는 방법을 설명해 봐.
  t0H2 high | ② [판별] 두 비의 비율을 기약분수로 나타내어 비교하면 편리한 이유를 말해 줘.
  qrecall reca | 2:3=4:6이라는 비례식에서 외항과 내항을 각각 말해 봐.
  qreason reas | 두 비의 비율이 같은지 확인할 때 왜 기약분수로 나타내어 비교하면 편리할까?
  qexample exam | 비율이 같은 두 비를 찾아 비례식으로 나타내 봐.
  qerror erro | 친구가 2:3과 4:6을 보고 전항(2,4)과 후항(3,6)이 서로 다른 수니까 비례식이 아니라고 했어. 어디가 틀렸을까?
## 4.  04. 비례식의 성질을 알아볼까요
  t0L1 low | ① 비례식에서 외항의 곱과 내항의 곱은 어떤 관계일까? (같다)
  t0L2 low | ② 어떤 식이 비례식인지 아닌지는 무엇을 비교해 알 수 있을까? (외항의 곱과 내항의 곱)
  t0H1 high | ① [□값 구하기] 5:3 = 10:□에서 비례식의 성질을 이용해 □를 구하는 방법을 설명해 봐.
  t0H2 high | ② [판별] 외항의 곱과 내항의 곱이 같으면 비례식이라고 할 수 있는 이유를 말해 줘.
  qrecall reca | 4:7=8:□에서 □는 얼마인지 말해 봐.
  qreason reas | 비례식에서 외항의 곱과 내항의 곱은 왜 항상 같을까?
  qexample exam | 외항의 곱과 내항의 곱이 같은 비례식을 하나 만들어 확인해 봐.
  qerror erro | 친구가 5:3=10:□에서 □를 구하면서 전항끼리 5와 10을 곱하고, 후항끼리 3과 □를 곱해서 같다고 놓았어. 어디가 틀렸을까?
## 4.  05. 비례식을 활용해 볼까요
  t0L1 low | ① 비례식으로 문제를 풀 때 가장 먼저 무엇을 할까? (구하려는 것을 □로 놓고 비례식 세우기)
  t0L2 low | ② 세운 비례식에서 □의 값은 어떤 성질을 이용해 구할까? (비/비례식의 성질)
  t0H1 high | ① [실생활 활용] 6분 동안 8 km를 달리는 차가 30분 동안 몇 km인지 비례식으로 구하는 과정을 설명해 봐.
  t0H2 high | ② [적용] 실생활 문제를 비례식으로 세워 해결할 수 있는 이유를 말해 줘.
  qrecall reca | 4분에 6 km를 가는 자전거가 20분 동안 가는 거리를 구하는 비례식을 세우면 어떤 식이 되는지 말해 봐.
  qreason reas | 두 양의 비율이 일정하게 유지되는 상황에서, 왜 비례식을 세우면 모르는 값을 구할 수 있을까?
  qexample exam | 생활 속에서 비례식으로 풀 수 있는 문제를 하나 만들어 봐.
  qerror erro | 친구가 4분에 6 km를 가는 자전거가 20분 동안 가는 거리를 구하면서 6:4=20:□로 비례식을 세웠어. 어디가 틀렸을까?
## 4.  06. 비례배분을 해 볼까요
  t0L1 low | ① 전체를 주어진 비로 나누는 것을 무엇이라고 할까? (비례배분)
  t0L2 low | ② 15를 2:3으로 나눈다는 것은 어떻게 나눈다는 뜻일까? (2:3의 비로 나누기)
  t0H1 high | ① [개념] 15를 2:3으로 비례배분하여 6과 9로 나누는 과정을 설명해 봐.
  t0H2 high | ② [편리성] 전항과 후항의 합을 분모로 하는 분수의 비로 나타내면 편리한 이유를 말해 줘.
  qrecall reca | 18을 4:5로 비례배분하면 두 수는 각각 얼마인지 말해 봐.
  qreason reas | 비례배분할 때 왜 전항과 후항의 합을 분모로 하는 분수를 곱할까?
  qexample exam | 전체를 어떤 비로 비례배분하는 예를 직접 만들어 계산해 봐.
  qerror erro | 친구가 15를 2:3으로 비례배분하면서 15×2/2와 15×3/2로 계산했어. 어디가 틀렸을까?
## 5.  01. 원주와 원주율을 알아볼까요
  t0L1 low | ① 원의 둘레를 무엇이라고 할까? (원주)
  t0L2 low | ② 원의 지름에 대한 원주의 비율을 무엇이라고 할까? (원주율)
  t0H1 high | ① [개념] 원주가 지름의 3배보다 길고 4배보다 짧다는 것을, 원 안팎의 정육각형·정사각형 둘레와 비교하여 설명해 봐.
  t0H2 high | ② [일정성] 원주율이 원의 크기와 상관없이 항상 일정한 이유를 말해 줘.
  qrecall reca | 지름이 4 cm인 원의 원주가 약 12.56 cm일 때, 원주율은 얼마인지 말해 봐.
  qreason reas | 두 원의 지름과 원주를 재니 각각 4cm·12.56cm, 8cm·25.12cm였어. 두 원의 원주율을 구하고, 원이 커져도 같은 값이 나온 이유를 비율로 설명해 봐.
  qexample exam | 지름과 원주의 비율(원주율)이 어떤 원이든 비슷하다는 것을 예로 들어 말해 봐.
  qerror erro | 친구가 원이 커지면 원주율도 점점 커진다고 했어. 어디가 틀렸을까?
## 5.  02. 원주와 지름을 구해 볼까요
  t0L1 low | ① 원주는 지름과 원주율을 이용해 어떻게 구할까? ((지름)×(원주율))
  t0L2 low | ② 지름은 원주와 원주율을 이용해 어떻게 구할까? ((원주)÷(원주율))
  t0H1 high | ① [원주 구하기] 지름이 10 cm인 원의 원주를 구하는 과정을 설명해 봐.
  t0H2 high | ② [지름 구하기] 원주=지름×원주율에서 지름을 원주÷원주율로 구할 수 있는 이유를 말해 줘.
  qrecall reca | 지름이 6 cm인 원의 원주는 몇 cm인지 말해 봐.(원주율: 3.14)
  qreason reas | 지름을 구할 때 왜 원주÷원주율로 계산하면 될까?
  qexample exam | 원주를 알 때 지름을 구하는 예를 직접 만들어 계산해 봐.
  qerror erro | 친구가 반지름이 4 cm인 원의 원주를 구하면서 4×3.14=12.56cm이라고 했어. 어디가 틀렸을까?
## 5.  03. 원의 넓이를 어림해 볼까요
  t0L1 low | ① 원의 넓이는 원 안과 밖의 어떤 도형을 이용해 어림할까? (정사각형)
  t0L2 low | ② 모눈을 이용하면 원의 넓이는 어떤 두 넓이 사이에 있을까? (안쪽·바깥쪽 모눈 넓이)
  t0H1 high | ① [어림] 원 안과 밖의 정사각형을 이용해 원의 넓이의 범위를 어림하는 방법을 설명해 봐.
  t0H2 high | ② [이유] 넓이를 정확히 구하기 전에 어림으로 범위를 먼저 알아보는 이유를 말해 줘.
  qrecall reca | 어떤 원 안의 정사각형 넓이가 50 ㎠, 원 밖의 정사각형 넓이가 100 ㎠일 때 이 원의 넓이는 어느 범위에 있는지 말해 봐.
  qreason reas | 원의 넓이가 왜 원 안쪽 정사각형보다는 크고 바깥쪽 정사각형보다는 작을까?
  qexample exam | 원 안과 밖에 정사각형을 그려서 원의 넓이 범위를 어림하는 예를 들어 봐.
  qerror erro | 친구가 원 안쪽 정사각형의 넓이가 200 ㎠라서 원의 넓이도 정확히 200 ㎠라고 했어. 어디가 틀렸을까?
## 5.  04. 원의 넓이를 구하는 방법을 알아볼까요
