2 | 01. 변의 길이에 따라 삼각형 분류하기           | r1 | t0L1       | 이등변삼각형은 어떤 삼각형이야?
2 | 03. 정삼각형의 성질                     | r3 | L2         | 자와 컴퍼스로 정삼각형을 그리는 방법을 말해 봐.
2 | 03. 정삼각형의 성질                     | r3 | L3         | 정삼각형의 한 변을 곧게 늘여서 직선을 그었어. 정삼각형 바깥쪽에 생긴 각의 크기를 구하려면 어떻게 생각해야 돼?
2 | 04. 각의 크기에 따라 삼각형 분류하기           | r1 | qapre0204  | 예각과 둔각은 각각 어떤 각이야?
2 | 04. 각의 크기에 따라 삼각형 분류하기           | r1 | t0L1       | 예각삼각형은 어떤 삼각형이야?
2 | 04. 각의 크기에 따라 삼각형 분류하기           | r1 | t0L2       | 직각삼각형과 둔각삼각형은 각각 어떤 삼각형이야?
2 | 04. 각의 크기에 따라 삼각형 분류하기           | r2 | t0H2       | 한 삼각형에 둔각이 두 개 있을 수 없는 이유를 말해 봐.
2 | 04. 각의 크기에 따라 삼각형 분류하기           | r2 | qexample   | 세 각의 크기를 합이 180°가 되게 네가 정하고, 어떤 삼각형인지 말해 봐.
2 | 04. 각의 크기에 따라 삼각형 분류하기           | r2 | qerror     | 친구가 한 각이 40°인 걸 보고 예각삼각형이라고 했어. 그런데 다른 한 각이 110°였어. 뭐가 잘못됐는지 말해 봐.
2 | 04. 각의 크기에 따라 삼각형 분류하기           | r3 | L1         | 예각삼각형, 직각삼각형, 둔각삼각형은 각각 어떤 삼각형이야?
2 | 04. 각의 크기에 따라 삼각형 분류하기           | r3 | L2         | 친구가 '이 삼각형은 예각이 두 개 있으니까 예각삼각형이야'라고 했어. 이 말이 맞는지 판단하려면 무엇을 더 봐야 하는지 말해 봐.
2 | 04. 각의 크기에 따라 삼각형 분류하기           | r3 | L3         | 한 삼각형 안에 둔각이 두 개 있을 수 없어. 왜 그런지 말해 봐.
2 | 05. 두 가지 기준으로 삼각형 분류하기           | r1 | t0L1       | 삼각형을 분류하는 두 가지 기준은 뭐야?
2 | 05. 두 가지 기준으로 삼각형 분류하기           | r1 | t0H1       | 두 변이 5 cm로 같고 한 각이 직각인 삼각형의 이름을 두 가지로 말해 봐.
2 | 05. 두 가지 기준으로 삼각형 분류하기           | r2 | qexample   | 이등변삼각형이면서 둔각삼각형인 삼각형의 세 각의 크기를 네가 정해서 말해 봐.
2 | 05. 두 가지 기준으로 삼각형 분류하기           | r2 | qcondition | 정삼각형은 각의 크기로 보면 항상 어떤 삼각형이야? 왜 그런지 말해 봐.
2 | 05. 두 가지 기준으로 삼각형 분류하기           | r2 | qerror     | 친구가 이등변삼각형이니까 예각삼각형이라고는 부를 수 없다고 했어. 뭐가 잘못됐는지 말해 봐.
2 | 05. 두 가지 기준으로 삼각형 분류하기           | r3 | qa22e4251  | 문제에서 삼각형이 나온다면 이름을 알아내려고 가장 먼저 살펴봐야 하는 두 가지는 뭐야?
2 | 05. 두 가지 기준으로 삼각형 분류하기           | r3 | L1         | 삼각형 하나에 이름을 두 가지 붙이려면 무엇과 무엇을 봐야 하는지 말해 봐.
2 | 05. 두 가지 기준으로 삼각형 분류하기           | r3 | L2         | 직각삼각형이면서 정삼각형인 삼각형을 만들 수 있어? 왜 그런지 말해 봐.
2 | 05. 두 가지 기준으로 삼각형 분류하기           | r3 | L3         | 삼각형의 일부가 지워져서 두 각이 60°, 60°인 것만 보여. 이 삼각형의 이름을 모두 찾으려면 어떻게 생각해야 돼?
4 | 01. 수직과 수선                       | r1 | qapre0401  | 직각은 몇 도야? 삼각자로 어떻게 확인해?
4 | 01. 수직과 수선                       | r1 | t0L1       | 두 직선이 서로 수직이라는 건 무슨 뜻이야?
4 | 01. 수직과 수선                       | r1 | t0L2       | 수선은 뭐야?
4 | 01. 수직과 수선                       | r2 | t0H2       | 각도기로 직선 가에 대한 수선을 긋는 방법을 얘기해 줘.
4 | 01. 수직과 수선                       | r2 | qcondition | 두 직선이 서로 수직인지 확인하려면 어떻게 해?
4 | 01. 수직과 수선                       | r3 | L1         | 두 직선이 서로 수직이라는 건 무슨 뜻이야? 수선은 뭐야?
4 | 01. 수직과 수선                       | r3 | L2         | 삼각자를 사용해서 주어진 직선에 대한 수선을 긋는 방법을 말해 봐.
4 | 01. 수직과 수선                       | r3 | L3         | 직선 가는 직선 나에 대한 수선이야. 두 직선이 만나는 점을 지나는 다른 직선이 직선 나와 20°를 이룰 때, 그 직선과 직선 가 사이의 각을 구하려면 어떻게 생각해야 돼?
4 | 02. 평행과 평행선                      | r1 | t0L1       | 평행은 무슨 뜻이야?
4 | 02. 평행과 평행선                      | r1 | t0L2       | 평행선은 뭐야?
4 | 02. 평행과 평행선                      | r2 | t0H1       | 한 직선에 수직인 두 직선은 서로 평행해. 왜 그런지 말해 봐.
4 | 02. 평행과 평행선                      | r2 | qerror     | 친구가 두 선분의 길이가 다르니까 평행이 아니라고 했어. 뭐가 잘못됐는지 말해 봐.
4 | 02. 평행과 평행선                      | r2 | qa22e4221  | 삼각자 2개로 점 ㄱ을 지나고 직선 가와 평행한 직선을 긋는 방법을 얘기해 줘.
4 | 02. 평행과 평행선                      | r3 | L1         | 평행과 평행선은 무슨 뜻이야?
4 | 02. 평행과 평행선                      | r3 | L2         | 삼각자 2개를 사용해서 주어진 직선과 평행한 직선을 긋는 방법을 말해 봐.
4 | 02. 평행과 평행선                      | r3 | L3         | 두 직선을 짧게 그어 봤더니 만나지 않았어. 그럼 두 직선은 평행이라고 할 수 있어? 왜 그런지 말해 봐.
4 | 03. 평행선 사이의 거리                   | r1 | t0L1       | 평행선 사이의 거리는 무엇이야?
4 | 03. 평행선 사이의 거리                   | r2 | t0H1       | 평행선 사이의 거리를 비스듬한 선분이 아니라 수직인 선분으로 재는 이유를 말해 봐.
4 | 03. 평행선 사이의 거리                   | r2 | qcondition | 평행선 사이의 거리를 왼쪽에서 잴 때와 오른쪽에서 잴 때 달라져? 왜 그런지 말해 봐.
4 | 03. 평행선 사이의 거리                   | r2 | qa22e4231  | 삼각자로 평행선 사이의 거리를 재는 방법을 얘기해 줘.
4 | 03. 평행선 사이의 거리                   | r3 | L1         | 평행선 사이의 거리는 무엇을 말하는 거야?
4 | 03. 평행선 사이의 거리                   | r3 | L2         | 평행선 사이에 선분을 여러 개 그었어. 어느 선분이 가장 짧아? 평행선 사이의 거리는 어디서 재도 같아?
4 | 03. 평행선 사이의 거리                   | r3 | L3         | 사다리꼴 모양의 도형에 여러 길이가 적혀 있어. 평행한 두 변 사이의 거리를 찾으려면 어떤 선분의 길이를 골라야 하는지 말해 봐.
4 | 04. 사다리꼴                         | r1 | t0L1       | 사다리꼴은 어떤 사각형이야?
4 | 04. 사다리꼴                         | r2 | qerror     | 친구가 평행사변형은 평행한 변이 두 쌍이라서 사다리꼴이 아니라고 했어. 뭐가 잘못됐는지 말해 봐.
4 | 04. 사다리꼴                         | r2 | qa22e4241  | 사다리꼴을 그리는 방법을 얘기해 줘.
4 | 04. 사다리꼴                         | r3 | L1         | 사다리꼴은 어떤 사각형이야?
4 | 04. 사다리꼴                         | r3 | L2         | 직사각형도 사다리꼴이라고 할 수 있어? 왜 그런지 말해 봐.
4 | 05. 평행사변형                        | r1 | t0L1       | 평행사변형은 어떤 사각형이야?
4 | 05. 평행사변형                        | r1 | t0L2       | 평행사변형의 변과 각에는 어떤 성질이 있어?
4 | 05. 평행사변형                        | r2 | qcondition | 평행사변형이려면 네 변의 길이가 모두 같아야 해? 왜 그런지 말해 봐.
4 | 05. 평행사변형                        | r2 | qerror     | 친구가 평행사변형의 한 각이 70°니까 이웃한 각도 70°라고 했어. 뭐가 잘못됐는지 찾고, 바른 답도 말해 봐.
4 | 05. 평행사변형                        | r1 | qa22e4251  | 한 변이 5 cm, 다른 한 변이 3 cm인 평행사변형의 네 변의 길이의 합은 몇 cm야? 어떻게 구했는지 말해 봐.
4 | 05. 평행사변형                        | r3 | L1         | 평행사변형은 어떤 사각형이야? 사다리꼴과 어떻게 달라?
4 | 05. 평행사변형                        | r3 | L2         | 평행사변형의 변과 각에는 어떤 성질이 있는지 말해 봐.
4 | 05. 평행사변형                        | r3 | L3         | 평행사변형의 한 각이 55°야. 나머지 세 각의 크기를 구하려면 어떻게 생각해야 돼?
4 | 06. 마름모                          | r1 | t0L1       | 마름모는 어떤 사각형이야?
4 | 06. 마름모                          | r1 | t0H2       | 마름모에서 마주 보는 꼭짓점끼리 이은 두 선분은 어떻게 만나?
4 | 06. 마름모                          | r2 | qreason    | 네 변의 길이가 모두 같은데 왜 마름모가 정사각형이 아닐 수도 있어?
4 | 06. 마름모                          | r2 | qcondition | 마름모의 두 대각선은 길이도 서로 같아? 왜 그런지 말해 봐.
4 | 06. 마름모                          | r2 | qa22e4261  | 마름모의 한 각이 60°야. 나머지 세 각은 어떻게 구해?
4 | 06. 마름모                          | r3 | L1         | 마름모는 어떤 사각형이야? 네 변의 길이가 같으면 모두 정사각형이야?
4 | 06. 마름모                          | r3 | L2         | 마름모에서 마주 보는 꼭짓점끼리 이은 두 선분은 어떤 성질이 있어?
4 | 06. 마름모                          | r3 | L3         | 네 변의 길이의 합이 20 cm인 마름모가 있어. 한 변의 길이를 구하려면 어떻게 생각해야 돼?
4 | 07. 여러 가지 사각형                    | r1 | qapre0407  | 직사각형과 정사각형은 각각 어떤 사각형이야?
4 | 07. 여러 가지 사각형                    | r1 | t0L1       | 직사각형과 정사각형은 각각 어떤 사각형이야?
4 | 07. 여러 가지 사각형                    | r2 | t0H1       | 정사각형이 직사각형이면서 마름모인 이유를 말해 봐.
4 | 07. 여러 가지 사각형                    | r2 | qreason    | '모든 정사각형은 직사각형이다'와 '모든 직사각형은 정사각형이다' 중 어느 말이 맞아? 틀린 말은 예를 들어 말해 봐.
4 | 07. 여러 가지 사각형                    | r2 | qcondition | 마름모이면서 직사각형인 사각형은 어떤 사각형이야? 왜 그런지 말해 봐.
4 | 07. 여러 가지 사각형                    | r3 | qa22e4271  | 문제에서 사각형의 이름을 모두 찾으라고 하면 무엇을 차례로 살펴봐야 하는지 말해 봐.
4 | 07. 여러 가지 사각형                    | r3 | L1         | 직사각형과 정사각형은 무엇이 같고 무엇이 달라?
4 | 07. 여러 가지 사각형                    | r3 | L2         | 정사각형은 사다리꼴, 평행사변형, 마름모, 직사각형이라고 모두 부를 수 있어. 왜 그런지 말해 봐.
4 | 07. 여러 가지 사각형                    | r3 | L3         | 폭이 다른 직사각형 모양의 종이 띠 2장을 비스듬히 겹쳤어. 겹쳐진 부분이 어떤 사각형인지 알아보려면 무엇을 따져 봐야 돼?
6 | 01. 다각형                          | r1 | t0L1       | 다각형은 어떤 도형이야?
6 | 01. 다각형                          | r1 | t0L2       | 다각형의 이름은 어떻게 정해? 변이 6개인 다각형은 뭐라고 해?
6 | 01. 다각형                          | r2 | t0H2       | 원이나 곡선이 섞인 도형은 왜 다각형이 아니야?
6 | 01. 다각형                          | r2 | qreason    | 다각형에서 변의 개수와 꼭짓점의 개수는 어떤 관계야? 오각형으로 예를 들어 말해 봐.
6 | 01. 다각형                          | r2 | qcondition | 다각형이려면 변의 길이가 모두 같아야 해? 왜 그런지 말해 봐.
6 | 01. 다각형                          | r3 | L1         | 다각형은 어떤 도형이야? 다각형의 이름은 어떻게 정해?
6 | 01. 다각형                          | r3 | L2         | 원이나 한쪽이 곡선인 도형, 선분이 한 군데 끊어져 있는 도형은 다각형이 아니야. 왜 그런지 말해 봐.
6 | 02. 정다각형                         | r1 | qapre0602  | 정삼각형은 어떤 삼각형이야?
6 | 02. 정다각형                         | r1 | t0L1       | 정다각형은 어떤 다각형이야?
6 | 02. 정다각형                         | r2 | t0H2       | 변의 길이는 모두 같은데 각의 크기가 다른 도형은 왜 정다각형이 아니야? 예를 들어 말해 봐.
6 | 02. 정다각형                         | r1 | qa22e4221  | 한 변이 5 cm인 정육각형의 모든 변의 길이의 합은 몇 cm야? 어떻게 구했는지 말해 봐.
6 | 02. 정다각형                         | r2 | qa22e4222  | 정사각형과 정오각형의 모든 변의 길이의 합이 같아. 정사각형의 한 변이 5 cm이면 정오각형의 한 변은 몇 cm야?
6 | 02. 정다각형                         | r3 | L1         | 정다각형은 어떤 다각형이야?
6 | 02. 정다각형                         | r3 | L2         | 마름모는 네 변의 길이가 모두 같은데 정다각형이야? 직사각형은 네 각이 모두 같은데 정다각형이야?
6 | 02. 정다각형                         | r3 | L3         | 정오각형의 한 각의 크기를 구하려면 어떻게 생각해야 돼?
6 | 03. 대각선                          | r1 | t0L1       | 대각선은 무엇이야?
6 | 03. 대각선                          | r1 | t0L2       | 사각형에 그을 수 있는 대각선은 몇 개야? 어떻게 알 수 있어?
6 | 03. 대각선                          | r2 | t0H2       | 직사각형, 마름모, 정사각형의 두 대각선은 각각 어떤 성질이 있어?
6 | 03. 대각선                          | r2 | qreason    | 꼭짓점이 ㄱ, ㄴ, ㄷ, ㄹ, ㅁ 차례로 있는 오각형에서 꼭짓점 ㄱ에서 그을 수 있는 대각선을 모두 말하고, 선분 ㄱㄴ과 ㄱㅁ을 세지 않는 이유도 말해 봐.
6 | 03. 대각선                          | r3 | L1         | 대각선은 무엇이야? 삼각형에는 왜 대각선이 없는지도 말해 봐.
6 | 03. 대각선                          | r3 | L2         | 사각형에서 두 대각선의 길이가 같은 사각형과 두 대각선이 서로 수직으로 만나는 사각형은 각각 어떤 사각형이야?
6 | 03. 대각선                          | r3 | L3         | 오각형에 그을 수 있는 대각선이 모두 몇 개인지 셀 때, 빠뜨리거나 두 번 세지 않으려면 어떻게 세야 돼?
6 | 04. 모양 만들기, 모양 채우기               | r1 | t0L1       | 모양 조각을 이어 붙여 새로운 모양을 만들 때 어떻게 붙여야 해?
6 | 04. 모양 만들기, 모양 채우기               | r1 | t0L2       | 모양 조각으로 주어진 모양을 채울 때 지켜야 할 것은 뭐야?
6 | 04. 모양 만들기, 모양 채우기               | r2 | qa22e4241  | 사다리꼴 모양 조각 1개를 정삼각형 모양 조각으로 채우려면 몇 개가 필요해? 어떻게 알았는지 말해 봐.
6 | 04. 모양 만들기, 모양 채우기               | r3 | L1         | 모양 조각으로 주어진 모양을 채울 때 꼭 지켜야 할 것을 말해 봐.
6 | 04. 모양 만들기, 모양 채우기               | r3 | L2         | 정육각형 조각 1개를 정삼각형 조각만으로 채우려고 해. 정삼각형 조각이 몇 개 필요한지 어떻게 알아내는지 말해 봐.
